Index,Price,Open,High,Low,Vol.,Change %
464,348.25,338.5,351.25,337.5,4.58K,2.88%
465,342.5,347.5,350.25,342.25,2.49K,-1.65%
466,345.25,345,345.25,345,-,0.80%
467,346.5,348.25,349,345.25,2.09K,0.36%
468,345,347.5,347.5,341.75,1.27K,-0.43%
469,348.25,343.5,348.5,341,0.35K,0.94%
470,351.25,349,356.5,348.25,0.50K,0.86%
471,340.5,350.25,352,340,0.81K,-3.06%
472,333.12,333.12,333.12,333.12,-,-2.17%
473,334,337.25,337.25,332,0.44K,0.26%
474,334.75,334,336.5,324.5,0.15K,0.22%
475,326.25,326,328.75,322.75,101.70K,-2.54%
476,330.25,326,333.25,326,109.53K,1.23%
477,333,330.25,334.75,330.25,83.69K,0.83%
478,332.62,332.62,332.62,332.62,-,-0.11%
479,328.25,333,333.5,326,105.21K,-1.31%
480,322.75,327.75,327.75,322,132.25K,-1.68%
481,327.5,323,328,322.25,122.91K,1.47%
482,328,327.25,329.5,325,92.65K,0.15%
483,326.25,328,329.75,325.5,144.24K,-0.53%
484,324.62,324.62,324.62,324.62,-,-0.50%
485,325,325.25,327.5,323.25,96.02K,0.12%
486,320,323,323.5,320,110.74K,-1.54%
487,315.5,320,321.5,315.25,136.66K,-1.41%
488,315.75,315.5,319.25,315.25,120.45K,0.08%
489,316,315.75,317.5,314.5,77.06K,0.08%
490,315.12,315.12,315.12,315.12,-,-0.28%
491,317.5,315,318.25,315,83.19K,0.76%
492,308.25,316.5,316.75,308.25,161.83K,-2.91%
493,311,309,311.25,309,103.36K,0.89%
494,311.25,310.5,312.75,309.5,106.03K,0.08%
495,307.75,311,311.75,307.25,124.48K,-1.12%
496,307.62,307.62,307.62,307.62,-,-0.04%
497,310.5,307.5,311.75,307.5,167.51K,0.94%
498,311.5,311.25,315,310.25,170.71K,0.32%
499,314.5,311.25,315,308,209.80K,0.96%
500,325.25,315,327.5,314.75,317.36K,3.42%
501,324.5,324.5,325.25,321.5,160.38K,-0.23%
502,327.12,327.12,327.12,327.12,-,0.81%
503,331,327,331,326.5,111.93K,1.19%
504,327,330,332,325.75,130.09K,-1.21%
505,325,326,327.25,323.5,87.62K,-0.61%
506,324.5,324.25,325.75,320.75,92.74K,-0.15%
507,327,324.75,327.75,324.25,134.88K,0.77%
508,328.12,328.12,328.12,328.12,-,0.34%
509,331.75,328,332.5,327.5,126.82K,1.11%
510,340.75,335,341.5,334.75,147.00K,2.71%
511,340.5,340.25,341.25,337.25,89.22K,-0.07%
512,344.25,340,344.75,339,123.79K,1.10%
513,346,343.25,347.75,340.75,94.06K,0.51%
514,348.88,348.88,348.88,348.88,-,0.83%
515,348.5,348.75,353,346,11.03K,-0.11%
516,349.5,347.75,350,343.25,3.70K,0.29%
517,349.75,349.25,350.5,345.25,2.61K,0.07%
518,344.5,349.75,350,343.75,1.45K,-1.50%
519,347.25,344,349,343.5,1.68K,0.80%
520,344.5,344.5,344.5,344.5,-,-0.79%
521,351,348,353,346,0.87K,1.89%
522,350,349.75,351.25,348.5,0.11K,-0.28%
523,357.25,349.75,357.75,349.75,0.67K,2.07%
524,365,355.5,366,355.5,0.68K,2.17%
525,357.5,366.75,366.75,359,0.22K,-2.05%
526,366,369,369.5,365.25,133.02K,2.38%
527,371.75,365.5,372,361.75,158.94K,1.57%
528,375.25,371.5,377.25,368,235.21K,0.94%
529,378.5,374.25,379.25,373.25,180.03K,0.87%
530,376.88,376.88,376.88,376.88,-,-0.43%
531,369.75,377.5,378.25,368.25,192.76K,-1.89%
532,369.25,369.75,373.25,365.75,159.15K,-0.14%
533,368.5,368.25,370.25,365.75,122.19K,-0.20%
534,363.5,368,368.25,363,152.37K,-1.36%
535,365.25,363.25,367.5,363,130.07K,0.48%
