"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 28, 2020","62.27","62.12","63.00","61.52","25.83K","-0.45%"
"Mar 02, 2020","62.80","62.55","63.17","62.12","19.14K","0.85%"
"Mar 03, 2020","63.55","63.70","64.83","63.23","24.15K","1.19%"
"Mar 04, 2020","64.30","64.00","64.78","63.30","20.32K","1.18%"
"Mar 05, 2020","65.38","64.12","65.47","63.65","19.02K","1.68%"
"Mar 06, 2020","65.92","65.00","66.38","65.00","28.16K","0.83%"
"Mar 09, 2020","63.00","62.92","65.22","62.92","35.59K","-4.43%"
"Mar 10, 2020","65.00","64.62","66.00","64.50","33.01K","3.17%"
"Mar 11, 2020","63.88","65.55","66.00","63.80","25.78K","-1.72%"
"Mar 12, 2020","60.88","62.48","62.50","60.88","21.34K","-4.70%"
"Mar 13, 2020","56.38","62.83","62.85","56.38","22.41K","-7.39%"
"Mar 16, 2020","53.98","52.30","56.58","52.12","29.75K","-4.26%"
"Mar 17, 2020","58.48","55.50","58.48","55.50","11.71K","8.34%"
"Mar 18, 2020","58.15","59.62","62.80","56.27","29.54K","-0.56%"
"Mar 19, 2020","61.15","60.78","61.15","59.38","-","5.16%"
